专业, 专业大类, 有该专业的学校数量, 物理, 化学, 生物, 历史, 地理, 政治, 技术, 没有学科要求的学校数量
环境艺术设计(景观设计方向),环境艺术设计(景观设计方向),1,0,0,0,0,0,0,0,1
商务英语(中澳合作办学项目),外国语言文学类(中外合作办学),1,0,0,0,0,0,0,0,1
民航安全技术管理,民航安全技术管理,16,1,1,2,0,1,1,0,13
音乐表演(大号),音乐表演(大号),1,0,0,0,0,0,0,0,1
汽车车身维修技术(汽车美容方向),汽车车身维修技术(汽车美容方向),1,0,0,0,0,0,0,0,1
护理学(老年护理班),护理学类,1,0,0,0,0,0,0,0,1
工业工程,工业工程,93,58,14,8,0,1,0,2,35
国际经济与贸易(大宗商品交易方向),国际经济与贸易(大宗商品交易方向),1,0,0,0,0,0,0,0,1
政治学类,政治学类,1,0,0,0,0,0,1,0,0
测绘与地质工程技术,测绘与地质工程技术,1,0,0,0,0,1,0,0,0
建筑设计(建筑设计、建筑景观设计),建筑设计(建筑设计、建筑景观设计),1,0,0,0,0,0,0,0,1
食品质量与安全,食品质量与安全,98,78,92,77,1,0,0,5,6
经济学(经济计量方向),经济学(经济计量方向),1,0,0,0,0,0,0,0,1
广播电视编导(影视),广播电视编导(影视),1,0,0,0,0,0,0,0,1
雕塑(公共雕塑),雕塑(公共雕塑),1,0,0,0,0,0,0,0,1
文化创意与策划,文化创意与策划,3,0,0,0,0,0,0,0,3
机械设计与制造,机械设计与制造,35,5,1,0,0,0,0,1,30
农业装备应用技术,农业装备应用技术,4,0,0,0,0,0,0,0,4
广告学(2+2中外联合培养双学位),广告学(2+2中外联合培养双学位),1,0,0,0,0,0,0,0,1
金融管理(汽车金融方向),金融管理(汽车金融方向),1,0,0,0,0,0,0,0,1
计算机科学与技术(IT财经应用方向),计算机科学与技术(IT财经应用方向),1,1,0,0,0,0,0,0,0
临床医学(医学实验班),临床医学类,1,1,1,0,0,0,0,0,0
公共事业管理(公共政策与人口管理),社会学类,1,0,0,0,0,0,0,0,1
计算机应用技术(移动互联方向),计算机类,1,1,0,0,1,0,0,1,0
应用心理学,应用心理学,82,14,8,12,3,0,0,0,67
航空发动机维修技术,航空发动机维修技术,2,0,0,0,0,0,0,0,2
投资学,投资学,51,4,1,0,0,0,1,0,47
工商管理(中法创新实验班),工商管理(中法创新实验班),1,0,0,0,0,0,0,0,1
艺术设计(新媒体与平面设计),艺术设计(新媒体与平面设计),1,0,0,0,0,0,0,0,1
船舶舾装工程技术,船舶舾装工程技术,1,0,0,0,0,0,0,0,1
戏剧影视文学(教育戏剧),戏剧影视文学(教育戏剧),1,0,0,0,0,0,0,0,1
社会工作(社会管理),人文科学试验班,1,0,0,0,0,0,0,0,1
生物技术(基地班),生物科学类,2,1,2,2,0,0,0,0,0
通信技术(中德合作),通信类(中外合作办学),1,0,0,0,0,0,0,0,1
医疗器械维护与管理(临床工程技术,健康管理与促进类(中外合作办学),1,0,0,0,0,0,0,0,1
建设工程管理(BIM方向，中加合作),建设工程管理类(中外合作办学),1,0,0,0,0,0,0,0,1
视觉传达设计(中美校际交流2+2项目),视觉传达设计(中美校际交流2+2项目),1,0,0,0,0,0,0,0,1
光电制造与应用技术,机电设备类(中外合作办学),2,0,0,0,0,0,0,0,2
印刷工程,印刷工程,7,7,6,0,0,0,0,0,0
计算机应用技术(中澳合作),计算机类(中外合作办学),1,0,0,0,0,0,0,0,1
国际商务(全英文教学),国际商务(全英文教学),1,0,0,0,0,0,0,0,1
实验艺术,实验艺术,5,0,0,0,0,0,0,0,5
机场运行,机场运行,5,0,0,0,0,0,0,0,5
舞蹈表演(体育舞蹈),舞蹈表演(体育舞蹈),1,0,0,0,0,0,0,0,1
中西面点工艺,中西面点工艺,3,0,0,0,0,0,0,0,3
文物保护与修复,文物保护与修复,3,0,0,0,0,0,0,0,3
艺术设计(纺织装饰艺术设计),艺术设计(纺织装饰艺术设计),1,0,0,0,0,0,0,0,1
工商管理(全英班),工商管理(全英班),1,0,0,0,0,0,0,0,1
广播影视节目制作,广播影视节目制作,9,0,0,0,0,0,0,1,8
计算机信息管理(中美合作大数据分析方向),计算机类(中外合作办学),1,0,0,0,0,0,0,0,1
国际邮轮乘务管理,国际邮轮乘务管理,17,0,0,0,0,0,0,0,17
农业电气化技术,农业电气化技术,1,0,0,0,0,0,0,0,1
能源与动力工程(电厂热能工程及其自动化),能源与动力工程(电厂热能工程及其自动化),1,1,1,0,0,0,0,0,0
化妆品技术,化妆品技术,2,0,1,1,0,0,0,1,1
风景园林设计,风景园林设计,8,0,0,0,1,1,0,1,7
武器系统与工程,武器系统与工程,16,16,0,0,0,0,0,0,0
