专业, 专业大类, 有该专业的学校数量, 物理, 化学, 生物, 历史, 地理, 政治, 技术, 没有学科要求的学校数量
道路与桥梁工程方向,土木类,1,1,0,0,0,0,0,0,0
考古学(文物鉴定方向),历史学类,1,0,0,0,1,1,0,0,0
应用化学(新能源材料方向),应用化学(新能源材料方向),1,1,1,0,0,0,0,0,0
治安管理,治安管理,1,0,0,0,0,0,1,0,0
学前教育,学前教育,168,1,1,2,7,4,3,0,161
农业建筑环境与能源工程,机械类,3,3,2,1,0,0,0,0,0
会计信息管理,会计信息管理,10,0,0,0,0,0,0,1,9
德语(涉外法商),德语(涉外法商),1,0,0,0,0,0,0,0,1
会计学(常州校区),会计学(常州校区),1,0,0,0,0,0,0,0,1
电子信息科学与技术(按大类招生),电子信息科学与技术(按大类招生),1,1,0,0,0,0,0,0,0
体能训练,体育学类,1,0,0,0,0,0,0,0,1
煤矿开采技术,煤矿开采技术,3,0,0,0,0,0,0,0,3
藏医学,藏医学,1,1,1,1,0,0,0,0,0
口腔医学(“5+3”一体化),口腔医学(“5+3”一体化),2,1,2,1,0,0,0,0,0
物联网工程(“互联网＋”复合培养实验班),物联网工程(“互联网＋”复合培养实验班),1,1,0,0,0,0,0,0,0
电气工程及其自动化(卓越班),电气工程及其自动化(卓越班),1,1,0,0,0,0,0,0,0
税收学(税务师方向),财政学类,1,0,0,0,0,0,0,0,1
勘查技术与工程(地球物理勘探方向),勘查技术与工程(地球物理勘探方向),1,1,1,0,0,0,0,0,0
轮机工程(船机修造方向),轮机工程(船机修造方向),1,1,1,0,0,0,0,1,0
汉语言文学(中外文化交流),汉语言文学(中外文化交流),1,0,0,0,0,0,0,0,1
光电技术应用,光电技术应用,2,1,0,0,0,0,0,0,1
产品设计(展示设计),产品设计(展示设计),1,0,0,0,0,0,0,0,1
历史学(创新实验班),历史学类,1,0,0,0,1,1,0,0,0
食品科学与工程(国家卓越工程师计划),食品科学与工程类,1,1,1,1,0,0,0,0,0
工商企业管理(人力资源管理方向),工商企业管理(人力资源管理方向),1,0,0,0,0,0,0,0,1
产品设计(信息设计),设计学类,1,0,0,0,0,0,0,0,1
文秘(建筑文秘与档案管理),文秘(建筑文秘与档案管理),1,0,0,0,0,0,0,0,1
物流金融管理,物流金融管理,2,0,0,0,0,0,0,0,2
应用化工技术,应用化工技术,21,5,6,6,0,0,0,1,15
放射治疗技术,放射治疗技术,1,1,0,0,0,0,0,0,0
飞行器设计与工程,飞行器设计与工程,20,20,1,0,0,0,0,0,0
电气工程及其自动化,电气工程及其自动化,346,346,4,0,0,0,0,4,0
医疗器械维护与管理,医疗器械维护与管理,1,0,0,0,0,0,0,0,1
软件工程(“互联网＋”实验班),软件工程(“互联网＋”实验班),1,1,0,0,0,0,0,0,0
机械工程(卓工超豪示范班),机械工程(卓工超豪示范班),1,1,0,0,0,0,0,0,0
保险(运营支持与管理),保险(运营支持与管理),1,0,0,0,0,0,0,0,1
城市轨道交通通信信号技术,城市轨道交通通信信号技术,15,2,0,0,0,0,0,0,13
工程造价(建筑工程造价方向),工程造价(建筑工程造价方向),1,0,0,0,0,0,0,0,1
城市轨道交通车辆技术,城市轨道交通车辆技术,17,2,1,0,0,0,0,1,15
音乐表演(民乐—少数民族乐器),音乐表演(民乐—少数民族乐器),1,0,0,0,0,0,0,0,1
化学工程与工业生物工程(含高分子方向),工科试验班(环境、化工与新材料类),1,0,1,0,0,0,0,0,0
核物理,物理学类,5,5,0,0,0,0,0,0,0
法学(财经法务方向),法学(财经法务方向),1,0,0,0,0,0,0,0,1
计算机应用技术(智能家居方向),计算机应用技术(智能家居方向),1,0,0,0,0,0,0,0,1
地球物理勘探技术,地球物理勘探技术,1,0,0,0,0,0,0,0,1
道路桥梁与渡河工程(国际工程班),道路桥梁与渡河工程(国际工程班),1,1,0,0,0,0,0,0,0
朝鲜语,朝鲜语,49,0,0,0,0,0,0,0,49
交通运输(航空管制，飞行运行管理、机场现场运行管理),交通运输(航空管制，飞行运行管理、机场现场运行管理),1,1,0,0,0,0,0,0,0
通信工程(中兴通讯班),通信工程(中兴通讯班),1,1,0,0,0,0,0,0,0
图书馆学,图书情报与档案管理类,6,2,1,1,2,0,0,0,4
汽车制造与装配技术,汽车制造与装配技术,33,8,1,0,0,0,0,3,25
城乡规划(五年制),工科试验班,2,2,0,0,1,1,0,0,0
心理学类,理科试验班类,1,1,0,0,0,0,0,0,0
应用化学(张大煜化学菁英班),应用化学(张大煜化学菁英班),1,0,1,0,0,0,0,0,0
农村区域发展,农村区域发展,9,1,1,1,0,0,0,0,8
空间信息与数字技术,计算机类(计算机与人工智能),11,11,0,0,0,0,0,0,0
软件技术(人工智能),计算机类(软件技术开发),1,0,0,0,0,0,0,0,1
历史学类,文科试验班类,1,0,0,0,0,0,0,0,1
物流工程,物流工程,47,23,12,3,0,3,0,0,24
税收学,税收学,34,1,0,0,1,0,0,0,33
播音与主持艺术(航空播音方向),播音与主持艺术(航空播音方向),1,0,0,0,0,0,0,0,1
土木工程(智能建造信息化方向),土木工程(智能建造信息化方向),1,1,0,0,0,0,0,0,0
经济学(创新班),经济学(创新班),1,0,0,0,0,0,0,0,1
汉语言文学(与法学专业复合班),汉语言文学(与法学专业复合班),1,0,0,0,0,0,0,0,1
环境设计(园林艺术设计),环境设计(园林艺术设计),1,0,0,0,0,0,0,0,1
摄影,美术学类,45,0,0,0,0,0,0,0,45
测控技术与仪器,测控技术与仪器,151,151,1,0,0,0,0,0,0
软件工程(软件设计与开发、大数据),软件工程(软件设计与开发、大数据),1,1,0,0,0,0,0,0,0
药物化学,药物化学,2,1,2,0,0,0,0,0,0
数字媒体艺术,数字媒体艺术,109,1,0,0,1,0,0,0,107
法学(卫生法学),法学(卫生法学),1,0,0,0,0,0,0,0,1
表演(木偶),表演(木偶),1,0,0,0,0,0,0,0,1
影视动画(数字动画方向),影视动画(数字动画方向),1,0,0,0,0,0,0,0,1
粉体材料科学与工程,粉体材料科学与工程,5,1,5,0,0,0,0,0,0
翻译,外国语言文学类,94,0,0,0,2,2,2,0,92
公共事业管理(师范),公共事业管理(师范),1,0,0,0,0,0,0,0,1
天文学类,理科试验班(大理科班),1,1,0,0,0,0,0,0,0
新闻学(数据新闻报道方向),新闻学(数据新闻报道方向),1,0,0,0,0,0,0,0,1
现代纺织技术,现代纺织技术,5,0,0,0,0,0,0,0,5
交通运输(民航电子电气工程),交通运输(民航电子电气工程),1,1,0,0,0,0,0,0,0
艺术设计(广告设计与传播),艺术设计(广告设计与传播),1,0,0,0,0,0,0,0,1
艺术设计(服装、服饰刺绣设计),艺术设计(服装、服饰刺绣设计),1,0,0,0,0,0,0,0,1
艺术史论(非通用语种),文科试验班类,1,0,0,0,0,0,0,0,1
作战指挥,作战指挥,12,6,2,1,0,0,1,1,6
电气工程及其自动化(含能源互联网国际班),工科试验班类(能源),1,1,0,0,0,0,0,0,0
服装与服饰设计(时装设计与表演),服装与服饰设计(时装设计与表演),1,0,0,0,0,0,0,0,1
刑事科学技术(视听技术方向),刑事科学技术(视听技术方向),1,1,1,1,0,0,0,0,0
畜牧兽医,畜牧兽医,15,0,1,1,0,0,0,1,14
中西医临床医学,中西医临床医学,27,22,26,27,0,0,0,0,0
临床医学(儿科学方向“5+3”五年制),临床医学(儿科学方向“5+3”五年制),1,1,1,0,0,0,0,0,0
表演(时尚表演与推广),表演(时尚表演与推广),1,0,0,0,0,0,0,0,1
蚕学,蚕学,2,1,2,2,0,0,0,0,0
化工安全工程,化工安全工程,1,1,1,0,0,0,0,0,0
软件工程(3D打印软件技术),计算机类,1,1,1,0,0,0,0,0,0
艺术设计学(新媒体、展示与策划、影视与舞台美术、建筑),艺术设计学(新媒体、展示与策划、影视与舞台美术、建筑),1,0,0,0,0,0,0,0,1
新闻学(卓越人才实验班),新闻传播学类,1,0,0,0,0,0,0,0,1
广播电视编导(媒体创意),广播电视编导(媒体创意),1,0,0,0,0,0,0,0,1
酒店管理(全英文教学),工商管理类(酒管全英文教学，中美121双学位班),1,0,0,0,0,0,0,0,1
电信工程及管理,电子信息类(中外合作办学),1,1,0,0,0,0,0,0,0
土木工程(建筑工程),土木工程(建筑工程),1,1,0,0,0,0,0,0,0
乌尔都语,乌尔都语,2,0,0,0,0,0,0,0,2
边防指挥,边防指挥,1,0,0,0,0,0,1,0,0
新闻学(新媒体方向),新闻学(新媒体方向),1,0,0,0,0,0,0,0,1
泰语,泰语,14,0,0,0,1,1,1,0,13
表演(服装与服饰展演),表演(服装与服饰展演),1,0,0,0,0,0,0,0,1
物业管理,物业管理,21,1,0,0,0,0,0,0,20
土木工程(英才班),土木工程(英才班),1,1,0,0,0,0,0,0,0
生物技术(生命科学与技术基地班),生物技术(生命科学与技术基地班),2,2,2,2,0,0,0,0,0
计算机科学与技术(计算机科学实验班),计算机类,1,1,0,0,0,0,0,0,0
零售业管理,零售业管理,1,0,0,0,0,0,0,0,1
生物科学(国家理科基础科学研究与教学人才培养基地),生物科学类,1,1,1,1,0,0,0,0,0
软件技术(app手机软件开发),软件技术(app手机软件开发),1,0,0,0,0,0,0,0,1
生物科学(师范类),生物科学类,3,3,3,3,0,0,0,0,0
环境设计,环境设计,284,2,0,0,8,5,5,0,276
测控技术与仪器(自控方向),测控技术与仪器(自控方向),1,1,0,0,0,0,0,0,0
工商管理(拍卖与典当方向),工商管理(拍卖与典当方向),1,0,0,0,0,0,0,0,1
力学类,工科试验班,1,1,0,0,0,0,0,0,0
应用电子技术教育,应用电子技术教育,1,1,0,0,0,0,0,0,0
制药设备应用技术,制药设备应用技术,2,1,0,1,0,0,0,1,1
审计学(注册会计师方向),审计学(注册会计师方向),2,1,1,1,0,0,0,0,1
汉语言文学(仅招收高水平运动队),汉语言文学(仅招收高水平运动队),1,0,0,0,1,1,1,0,0
建筑学(五年制),建筑学(五年制),2,2,0,0,1,0,0,0,0
舞蹈学(师范),舞蹈学(师范),8,0,0,0,0,0,0,0,8
社区管理与服务(老年教育指导与服务),社区管理与服务(老年教育指导与服务),1,0,0,0,0,0,0,0,1
体育教育(高水平运动队),体育教育(高水平运动队),1,0,0,0,0,0,0,0,1
应用统计学(金融统计),统计学类,2,2,1,1,0,0,0,0,0
法学(调解方向),法学(调解方向),1,0,0,0,1,0,1,0,0
材料科学与工程(卓越班),材料科学与工程(卓越班),1,1,0,0,0,0,0,0,0
体育经济与管理,体育经济与管理,11,0,0,0,0,0,0,0,11
建筑装饰工程技术(装饰工程设计方向),建筑装饰工程技术(装饰工程设计方向),1,0,0,0,0,0,0,0,1
土木工程(卓越全英班),土木工程(卓越全英班),1,1,0,0,0,0,0,0,0
英语(含翻译专业),英语(含翻译专业),2,0,0,0,0,0,0,0,2
工商管理(民航管理),工商管理(民航管理),1,1,0,0,1,1,0,0,0
英语(民航业务、国际贸易),英语(民航业务、国际贸易),1,0,0,0,0,0,0,0,1
农林经济管理(国家卓越农林人才计划),经济学类,1,0,0,0,0,0,0,0,1
供热通风与空调工程技术,供热通风与空调工程技术,8,1,1,0,0,0,0,1,7
新闻采编与制作,新闻采编与制作,21,0,1,1,2,0,1,1,19
市场营销(国际营销班),市场营销(国际营销班),1,0,0,0,0,0,0,0,1
音乐表演(民乐大提琴),音乐表演(民乐大提琴),1,0,0,0,0,0,0,0,1
软件技术(移动技术应用开发),计算机类(软件技术开发),1,0,0,0,0,0,0,0,1
基础医学(基地班),基础医学(基地班),1,1,1,0,0,0,0,0,0
医学营养,医学营养,4,0,1,1,1,0,0,0,3
能源与动力工程(制冷与空调工程),能源与动力工程(制冷与空调工程),1,1,1,0,0,0,0,0,0
数学与应用数学(中美合作精算科学与风险管理),数学类(中外合作办学),1,1,0,0,0,0,0,0,0
测控工程,测控工程,4,4,1,0,0,0,0,0,0
艺术与科技(电子音乐制作与创作),艺术与科技(电子音乐制作与创作),1,0,0,0,0,0,0,0,1
监狱学(心理矫治方向),监狱学(心理矫治方向),1,0,0,0,1,0,1,0,0
法学(刑事司法方向),法学类,1,0,0,0,0,0,0,0,1
英语(国际体育交流方向),英语(国际体育交流方向),1,0,0,0,0,0,0,0,1
中药生产与加工,中药生产与加工,1,0,0,0,0,0,0,0,1
安全防范技术,安全防范技术,4,2,1,2,0,0,0,1,2
音乐表演(琵琶),音乐表演(琵琶),1,0,0,0,0,0,0,0,1
健康管理(中医健康管理方向),健康管理(中医健康管理方向),1,0,0,0,0,0,0,0,1
智能控制技术(汽车电子设备维护),智能控制技术(汽车电子设备维护),1,1,0,0,0,0,0,0,0
宠物养护与驯导,宠物养护与驯导,10,0,0,1,1,0,0,1,9
国防工程及其智能化,国防工程及其智能化,2,2,1,0,0,0,0,0,0
海洋油气工程,海洋油气工程,3,3,3,0,0,0,0,0,0
英语(国际幼教、国际传媒、跨国商务),英语(国际幼教、国际传媒、跨国商务),1,0,0,0,0,0,0,0,1
法学(经济法),法学(经济法),3,0,0,0,1,0,1,0,2
园艺技术,园艺技术,20,0,4,5,0,3,0,3,15
轮机工程,能源动力类,11,11,5,0,0,0,0,2,0
社会学(司法社工方向),社会学(司法社工方向),1,0,0,0,1,0,1,0,0
西班牙语,西班牙语,47,0,0,0,0,0,0,0,47
工商管理(中英合作),工商管理类(中外合作办学),1,0,0,0,0,0,0,0,1
治安学(警察法学专业方向),治安学(警察法学专业方向),1,0,0,0,0,0,1,0,0
人类学,社会学类,3,0,0,0,1,0,0,0,2
工商管理(国际产能合作服务),工商管理(国际产能合作服务),1,0,0,0,0,0,0,0,1
工商管理(战略与创新创业),工商管理类,1,0,0,0,0,0,0,0,1
哲学类,文科试验班类,1,0,0,0,0,0,0,0,1
软件工程(中外合作),计算机类(中外合作办学),1,1,0,0,0,0,0,0,0
体育教育(足球),体育教育(足球),1,0,0,0,0,0,0,0,1
老年服务与管理(设计与管理方向),老年服务与管理(设计与管理方向),1,0,0,0,0,0,0,0,1
作曲与作曲技术理论(计算机作曲),作曲与作曲技术理论(计算机作曲),1,0,0,0,0,0,0,0,1
经济统计学(经济统计),经济统计学(经济统计),1,0,0,0,0,0,0,0,1
信息与计算科学(金融计算),数学类,1,1,0,0,0,0,0,0,0
物流管理(采购与供应链管理),物流管理与工程类(中外合作办学),1,0,0,0,0,0,0,0,1
统计与会计核算,统计与会计核算,6,0,0,0,1,0,1,0,5
国际经济与贸易(国际贸易 金融风险管理),经济与贸易类(中外合作办学),1,0,0,0,0,0,0,0,1
粮食工程,食品科学与工程类,8,8,8,6,0,0,0,0,0
信用管理,信用管理,13,3,1,0,2,0,1,0,10
土木工程(道路桥梁工程),土木工程(道路桥梁工程),1,1,0,0,0,0,0,0,0
化学工程与工艺(制药),化学工程与工艺(制药),1,1,1,0,0,0,0,0,0
药物制剂,药物制剂,39,23,39,26,0,0,0,0,0
司法鉴定技术(物证技术方向),司法鉴定技术(物证技术方向),1,0,0,0,0,0,0,0,1
电子科学与技术,电子科学与技术,106,106,1,0,0,0,0,1,0
法律事务(人民调解员方向),法律事务(人民调解员方向),1,0,0,0,0,0,0,0,1
自动化(卓越计划),工科试验班类(卓越计划),1,1,0,0,0,0,0,0,0
西餐工艺,西餐工艺,12,0,0,0,0,0,0,0,12
外国语言与外国历史,历史学类,1,0,0,0,0,0,0,0,1
数据科学与大数据技术,数据科学与大数据技术,33,33,0,0,0,0,0,0,0
新能源科学与工程(太阳能),能源动力类(新能源),1,1,0,0,0,0,0,0,0
科学社会主义,政治学类,1,0,0,0,0,0,1,0,0
园林工程技术(测量方向),园林工程技术(测量方向),1,0,0,0,0,0,0,0,1
卫生监督,卫生监督,1,0,1,1,0,0,0,0,0
审计学(CIA方向、3+1+1本硕联合培养方向),审计学(CIA方向、3+1+1本硕联合培养方向),1,0,0,0,0,0,0,0,1
护理(康复护理),护理(康复护理),1,0,0,0,0,0,0,0,1
中医学(卓越中医京华班),中医学(卓越中医京华班),1,1,1,1,0,0,0,0,0
音乐表演(笙),音乐表演(笙),1,0,0,0,0,0,0,0,1
动画(中外联合办学（韩国韩瑞大学合作项目）),动画(中外联合办学（韩国韩瑞大学合作项目）),1,0,0,0,0,0,0,0,1
国际商务(双语班),国际商务(双语班),1,0,0,0,0,0,0,0,1
健康管理,健康管理,8,0,1,1,1,0,0,0,7
生物技术,生物技术,149,122,144,124,0,0,0,2,0
纺织品设计(染织艺术设计),纺织品设计(染织艺术设计),1,0,0,0,0,0,0,0,1
高压输配电线路施工运行与维护,高压输配电线路施工运行与维护,5,2,2,0,0,0,1,0,3
软件与信息服务,软件与信息服务,3,0,0,0,0,0,0,1,2
导弹维修,导弹维修,1,0,0,0,0,0,0,0,1
给排水科学与工程,给排水科学与工程,84,84,10,0,0,0,0,0,0
保密管理(含技术方向),保密管理(含技术方向),1,1,0,0,0,0,0,0,0
水文与工程地质,水文与工程地质,1,0,0,0,0,0,0,0,1
工业分析技术,化工技术类,11,0,1,1,0,0,1,0,10
法学,法学,313,0,0,0,36,0,42,3,268
数字媒体技术,数字媒体技术,96,96,1,0,0,0,0,1,0
表演(人物形象设计),表演(人物形象设计),1,0,0,0,0,0,0,0,1
音乐学(音乐商务与音乐传媒),音乐学(音乐商务与音乐传媒),1,0,0,0,0,0,0,0,1
中医学(卓越中西医班),中医学(卓越中西医班),1,1,1,1,0,0,0,0,0
波兰语,波兰语,1,0,0,0,0,0,0,0,1
信息与计算科学(移动互联网、数据科学方向),信息与计算科学(移动互联网、数据科学方向),1,1,0,0,0,0,0,0,0
应用西班牙语(跨境电子商务),应用西班牙语(跨境电子商务),1,0,0,0,0,0,0,0,1
电子商务(大数据统计与分析),电子商务类,1,0,0,0,0,0,0,0,1
汉语,汉语,9,0,0,0,0,0,0,0,9
交通运输(卓越计划),交通运输(卓越计划),1,1,0,0,0,0,0,0,0
新能源科学与工程(风电),能源动力类(新能源),1,1,0,0,0,0,0,0,0
工商管理类(会计学),理科试验班类(经济、金融与管理),1,1,0,0,0,0,0,0,0
信用管理(金融风险控制),信用管理(金融风险控制),1,0,0,0,0,0,0,0,1
历史学(公费师范生),历史学(公费师范生),1,0,0,0,1,1,0,0,0
音乐学(器乐),音乐学(器乐),1,0,0,0,0,0,0,0,1
应用化学(材料方向),化学类,1,1,1,0,0,0,0,0,0
临床工程技术,临床工程技术,1,1,1,1,0,0,0,0,0
机械设计制造及其自动化,机械设计制造及其自动化,323,323,8,0,0,0,0,2,0
植物科学与技术,植物科学与技术,6,6,6,4,0,0,0,0,0
产品设计(染织艺术设计),设计学类,2,0,0,0,0,0,0,0,2
火灾勘查,火灾勘查,1,1,1,0,0,0,0,0,0
翻译(英语翻译),翻译(英语翻译),1,0,0,0,0,0,0,0,1
市场营销(互联网营销),市场营销(互联网营销),1,0,0,0,0,0,0,0,1
港口与航运管理,港口与航运管理,10,0,0,0,0,0,0,0,10
新闻学(传媒经营方向),新闻学(传媒经营方向),1,0,0,0,0,0,0,0,1
舞蹈编导,舞蹈编导,27,0,0,0,0,0,0,0,27
水族科学与技术,水族科学与技术,6,5,6,6,0,0,0,1,0
道路运输与路政管理,道路运输与路政管理,3,0,0,0,0,0,0,0,3
民航运输(民航电子商务),民航运输(民航电子商务),1,0,0,0,0,0,0,0,1
模具设计与制造(高本贯通试点班),模具设计与制造(高本贯通试点班),1,1,0,0,0,0,0,0,0
刑事执行,刑事执行,5,0,0,1,0,0,1,1,4
电子科学与技术(含集成电路设计与集成系统专业),电子科学与技术(含集成电路设计与集成系统专业),1,1,0,0,0,0,0,0,0
现代流行音乐,现代流行音乐,1,0,0,0,0,0,0,0,1
临床医学(八年制),临床医学(八年制),2,1,2,1,0,0,0,0,0
城市管理(城市经济与数字化管理方向),城市管理(城市经济与数字化管理方向),1,0,0,0,0,0,0,0,1
卫生信息管理,卫生信息管理,5,0,0,0,0,0,0,0,5
医学检验技术,医学检验技术,103,53,81,73,0,0,0,4,22
高分子材料与工程,高分子材料与工程,100,26,85,0,0,0,0,0,0
物理学(师范),物理学(师范),9,9,1,0,0,0,0,0,0
海洋技术(厦门大学马来西亚分校招生专业),海洋技术(厦门大学马来西亚分校招生专业),1,1,1,1,0,0,0,0,0
软件工程(德泰学苑试点班),软件工程(德泰学苑试点班),1,1,0,0,0,0,0,0,0
分子科学与工程,分子科学与工程,4,3,2,0,0,0,0,0,0
市政工程技术(轨道交通方向),市政工程技术(轨道交通方向),1,1,0,0,1,0,0,1,0
工科类,工科类,1,1,1,1,0,0,0,0,0
软件工程(软件测试方向),软件工程(软件测试方向),2,2,0,0,0,0,0,0,0
导游(户外导游方向),导游(户外导游方向),1,0,0,0,0,0,0,0,1
汉语言文学(基地班),汉语言文学(基地班),2,0,0,0,1,1,0,0,1
金融学(数理金融与数理经济试验班),金融学(数理金融与数理经济试验班),1,1,0,0,0,0,0,0,0
工业设计(良渚校区),工业设计(良渚校区),1,1,0,0,0,0,0,1,0
表演(影视表演),表演(影视表演),3,0,0,0,0,0,0,0,3
广告设计与制作(新媒体艺术方向),广告设计与制作(新媒体艺术方向),1,0,0,0,0,0,0,0,1
电气工程及其自动化(电力系统及其自动化方向),电气工程及其自动化(电力系统及其自动化方向),1,1,0,0,0,0,0,0,0
资源与环境经济学,资源与环境经济学,7,1,1,1,0,0,0,0,6
化学教育,化学教育,2,0,0,0,0,0,0,0,2
电影制作,电影制作,1,1,0,0,0,0,0,0,0
人文地理与城乡规划(旅游规划与景区管理方向),人文地理与城乡规划(旅游规划与景区管理方向),1,1,1,0,0,1,0,0,0
冶金工程(卓越计划),冶金工程(卓越计划),1,0,1,0,0,0,0,0,0
测绘地理信息技术,测绘地理信息技术,6,0,0,0,0,1,0,0,5
市场营销(含营销策划方向),市场营销(含营销策划方向),1,0,0,0,0,0,0,0,1
审计,审计,19,0,0,0,0,0,0,0,19
工业机器人技术(中乌合作),自动化类(中外合作办学),1,0,0,0,0,0,0,0,1
计算机科学与技术(全英文授课专业),计算机科学与技术(全英文授课专业),1,1,0,0,0,0,0,0,0
护理学(涉外护理方向),护理学(涉外护理方向),1,0,0,0,0,0,0,0,1
出版商务(文化媒介与版权经纪（中法合作）),出版商务(文化媒介与版权经纪（中法合作）),1,0,0,0,0,0,0,0,1
民族传统技艺,民族传统技艺,1,0,0,0,0,0,0,0,1
管理科学(基地班),工商管理类,1,1,1,1,0,0,0,0,0
法学(律师业务方向),法学(律师业务方向),1,0,0,0,0,0,0,0,1
电子产品质量检测,电子产品质量检测,1,0,0,0,0,0,0,0,1
英语(英日双语方向),英语(英日双语方向),1,0,0,0,0,0,0,0,1
会计学(含税务会计方向；ACA方向),会计学(含税务会计方向；ACA方向),1,1,0,1,1,0,0,0,0
数学与应用数学(公费师范),数学与应用数学(公费师范),1,1,0,0,0,0,0,0,0
森林工程,工业工程类,2,2,2,0,0,0,0,0,0
材料工程技术(新能源材料方向),材料工程技术(新能源材料方向),1,0,0,0,0,0,0,0,1
舞蹈表演(中国舞表演),舞蹈表演(中国舞表演),1,0,0,0,0,0,0,0,1
航空地面设备维修,航空地面设备维修,2,0,0,0,0,0,0,0,2
新能源材料与器件,新能源材料与器件,24,17,9,0,0,0,0,0,0
传播与策划(传媒策划与管理方向),传播与策划(传媒策划与管理方向),1,0,0,0,0,0,0,0,1
农学(国家卓越农林人才计划),植物生产类,1,1,1,1,0,0,0,0,0
水土保持与荒漠化防治,自然保护与环境生态类,3,3,3,3,0,0,0,0,0
历史学(基地班),历史学类,4,0,0,0,4,3,0,0,0
首饰设计与工艺,首饰设计与工艺,5,0,0,0,0,0,0,0,5
核生化消防,核生化消防,1,1,1,0,0,0,0,0,0
产品设计(家具设计),产品设计(家具设计),1,0,0,0,0,0,0,0,1
电子信息工程(含英语强化班),电子信息工程(含英语强化班),1,1,0,0,0,0,0,0,0
国际经济与贸易(中美合作),国际经济与贸易(中美合作),1,0,0,0,0,0,0,0,1
电线电缆制造技术,电线电缆制造技术,2,0,0,0,0,0,0,0,2
物联网工程(含移动互联网应用开发方向),物联网工程(含移动互联网应用开发方向),1,1,0,0,0,0,0,0,0
市场营销(金融服务与营销),工商管理类(中外合作办学),1,0,0,0,0,0,0,0,1
物流工程技术,物流工程技术,2,2,0,0,0,1,0,2,0
护理(中美合作方向),护理类(中外合作办学),1,0,0,0,0,0,0,0,1
土木工程(含国际班),土木工程(含国际班),1,1,0,0,0,0,0,0,0
投资与理财,投资与理财,29,2,0,0,3,1,2,4,25
旅游管理(养生方向),旅游管理(养生方向),1,0,0,0,0,0,0,0,1
特殊教育,特殊教育,18,0,0,1,1,0,1,0,17
产品艺术设计,产品艺术设计,26,0,0,0,1,1,0,1,25
工程管理,工程管理,197,197,2,0,0,0,0,1,0
绘画(中国画方向、油画方向),绘画(中国画方向、油画方向),1,0,0,0,0,0,0,0,1
交通运营管理,交通运营管理,2,1,0,0,0,0,0,0,1
食品卫生与营养学,食品卫生与营养学,11,9,11,8,0,0,0,0,0
雕塑,美术学类,34,0,0,0,0,0,0,0,34
建筑设备工程技术,建筑设备工程技术,6,4,2,0,2,1,0,3,2
教育技术学(游戏软件开发),教育技术学(游戏软件开发),1,1,1,0,0,0,0,0,0
国际经济与贸易(英文授课班),国际经济与贸易(英文授课班),1,0,0,0,0,0,0,0,1
地球信息科学与技术,理科试验班(生命、环境、化学与地学),4,4,1,0,0,0,0,0,0
产品设计(交通工具设计),产品设计(交通工具设计),1,0,0,0,0,0,0,0,1
计算机应用技术(网络应用技术、软件设计与应用),计算机应用技术(网络应用技术、软件设计与应用),1,0,0,0,0,0,0,0,1
机械电子工程(工业机器人实验班),机械电子工程(工业机器人实验班),1,1,0,0,0,0,0,0,0
视觉传达设计(陈设工艺设计),视觉传达设计(陈设工艺设计),1,0,0,0,0,0,0,0,1
戏剧影视表演,戏剧影视表演,10,0,0,0,0,0,0,0,10
材料成型及控制工程(模具设计),材料成型及控制工程(模具设计),1,1,0,0,0,0,0,0,0
传播与策划,传播与策划,9,1,0,0,1,1,1,2,7
橡胶工程技术,橡胶工程技术,1,0,0,0,0,0,0,0,1
音乐表演(民族声乐),音乐表演(民族声乐),1,0,0,0,0,0,0,0,1
物理学(基地班),物理学类,4,4,0,0,0,0,0,0,0
摄影与摄像艺术,摄影与摄像艺术,5,0,0,0,0,0,0,0,5
电气自动化技术,电气自动化技术,116,27,10,3,1,0,2,14,88
设施农业科学与工程,设施农业科学与工程,8,7,8,7,0,0,0,0,0
监狱学,监狱学,2,0,0,0,1,0,1,0,1
数学与应用数学(统计金融复合型人才培养),数学与应用数学(统计金融复合型人才培养),1,1,0,0,0,0,0,0,0
绘画,绘画,53,0,0,0,2,0,0,0,51
动画(中英校际交流2+2项目),动画(中英校际交流2+2项目),1,0,0,0,0,0,0,0,1
金融学(3+1+1本硕联合培养),金融学(3+1+1本硕联合培养),1,0,0,0,0,0,0,0,1
审计学(CIMA班),审计学(CIMA班),1,0,0,0,0,0,0,0,1
资产评估,资产评估,28,1,0,0,0,0,0,0,27
机场运行(民航机场气象观测),机场运行(民航机场气象观测),1,0,0,0,0,0,0,0,1
特种能源技术与工程,特种能源技术与工程,8,8,1,0,0,0,0,0,0
国际商务(金融与证券方向),国际商务(金融与证券方向),1,0,0,0,0,0,0,0,1
音乐学(音乐教育),音乐学(音乐教育),2,0,0,0,0,0,0,0,2
音乐表演(声乐表演方向),音乐表演(声乐表演方向),1,0,0,0,0,0,0,0,1
地籍测绘与土地管理,地籍测绘与土地管理,4,0,0,0,0,0,0,0,4
老年服务与管理,老年服务与管理,24,0,0,0,0,0,0,0,24
数学与应用数学(科学与工程计算),数学类,1,1,0,0,0,0,0,0,0
火电厂集控运行,火电厂集控运行,4,0,0,0,0,0,0,0,4
绘画(装饰绘画),绘画(装饰绘画),1,0,0,0,0,0,0,0,1
音乐学(乐器与打击乐表演),音乐学(乐器与打击乐表演),1,0,0,0,0,0,0,0,1
